Response,Key,BIL_EXPOSURE_BEFORE_5
79,79,YES
95,95,YES
65,65,YES
23,23,YES
26,26,YES
392,392,YES
365,365,YES
439,439,YES
286,286,YES
536,536,YES
8469,8469,YES
2513,2513,YES
2149,2149,YES
6928,6928,YES
1327,1327,YES
43892,43892,YES
71934,71934,YES
94321,94321,YES
46937,46937,YES
69532,69532,YES
763918,763918,YES
537941,537941,YES
539472,539472,YES
913847,139847,YES
681534,682534,YES
9153684,9153684,YES
2654378,2654378,YES
5193827,1593827,YES
7315642,1375642,YES
6385472,3685472,YES
72,72,YES
74,74,YES
24,24,YES
13,13,YES
13,13,YES
315,315,YES
358,358,YES
917,917,YES
946,946,YES
587,587,YES
4796,4796,YES
2671,2671,YES
3895,3895,YES
2659,2659,YES
4681,4681,YES
67839,67839,YES
12347,12347,YES
62189,62189,YES
36271,36271,YES
23597,23597,YES
459318,459318,YES
237851,237851,YES
285964,285964,YES
421367,421367,YES
351897,351897,YES
9782345,9782345,YES
2619437,2619437,YES
3427598,3427589,YES
8175263,8175000,YES
8569123,8569123,YES
51467289,51467289,YES
95136842,36482,YES
18729364,18729364,YES
23541697,23541697,YES
63275418,63275418,YES
923475861,923475681,YES
945783261,974536182,YES
486295371,468295371,YES
743965128,749300000,YES
681534279,681537429,YES
52,52,YES
78,78,YES
46,46,YES
92,92,YES
39,39,YES
697,697,YES
164,164,YES
952,952,YES
861,861,YES
582,582,YES
6829,6829,YES
4127,4127,YES
5618,5618,YES
6241,6241,YES
2479,2479,YES
46821,46821,YES
31452,31452,YES
85371,85371,YES
95617,95617,YES
87461,87461,YES
285763,285763,YES
256817,256781,YES
539684,539684,YES
751389,751389,YES
219756,219576,YES
4975186,497186,YES
3426597,3425967,YES
7968324,7986342,YES
1457368,1457896,YES
3298674,3247608,YES
75,75,YES
63,63,YES
85,85,YES
13,13,YES
91,91,YES
856,856,YES
352,352,YES
483,483,YES
814,814,YES
629,629,YES
8671,8671,YES
1839,1839,YES
7251,7251,YES
8257,8257,YES
8249,8249,YES
39158,39158,YES
74319,74319,YES
37651,37651,YES
23569,23569,YES
96453,95643,YES
725968,725968,YES
652317,652710,YES
769135,769135,YES
719364,791346,YES
896451,896400,YES
81,81,NO
86,86,NO
98,98,NO
41,41,NO
96,96,NO
376,376,NO
732,732,NO
961,961,NO
935,935,NO
542,542,NO
6435,6435,NO
5379,5379,NO
9425,9425,NO
3564,3564,NO
9132,9132,NO
14796,14796,NO
24365,24365,NO
74962,74962,NO
75946,75946,NO
